ID,Latitud,Longitud
P8857,40.146,-6.981
P10707,40.798,-6.594
P2139,37.633,-2.152
P8612,40.023,-3.519
P19391,43.394,-7.168
P18871,43.241,-7.440
P14909,41.769,2.861
P4994,38.788,-4.333
P11610,41.074,-3.546
P14764,42.097,-6.876
P4329,38.469,-1.722
P15482,42.300,-6.203
P402,36.806,-2.883
P14634,42.031,-3.847
P1203,37.269,-3.365
P7205,39.490,-2.306
P8515,39.850,-0.134
P17145,42.700,-2.532
P4342,38.434,-0.894
P9661,40.284,-0.819
P18377,43.092,-4.632
P5306,38.868,-3.303
P5359,38.736,0.092
P6436,39.299,-6.517
P10610,40.727,-3.691
P17823,42.948,-5.386
P2219,37.746,-5.053
P6726,39.399,-6.518
P414,36.900,-6.125
P5050,38.678,-0.748
P15550,42.219,-1.612
P13344,41.483,0.278
P16825,42.477,0.442
P8742,40.094,-4.824
P19258,43.344,-4.764
P16120,42.255,0.826
P18012,42.995,-4.907
P10799,40.671,-0.525
P5128,38.847,-5.166
P4671,38.698,-6.640
P1862,37.594,-4.803
P12209,41.241,-2.276
P6613,39.340,-4.513
P821,37.149,-6.438
P17371,42.615,0.660
P3750,38.346,-5.044
P944,37.199,-5.499
P14068,41.894,-7.209
P7294,39.598,-5.351
P10632,40.689,-2.240
P14958,42.150,-5.730
P2510,37.803,-2.775
P1972,37.647,-5.243
P6719,39.396,-6.970
P12686,41.332,-0.737
P15051,41.971,0.527
P16468,42.384,0.297
P197,36.649,-5.440
P4978,38.798,-5.359
P1665,37.450,-2.666
P10666,40.595,-0.003
P3150,38.046,-2.510
P10652,40.639,-0.924
P3629,38.291,-4.599
P2143,37.624,-1.900
P3047,37.935,-0.931
P18370,43.097,-5.111
P16406,42.532,-3.898
P9185,40.237,-4.297
P3382,38.184,-4.093
P1298,37.339,-4.430
P12847,41.367,-0.401
P18956,43.170,-1.615
P17163,42.658,-1.310
P6873,39.450,-6.000
P7156,39.549,-5.481
P14397,41.982,-8.085
P12347,41.313,-3.071
P10464,40.684,-4.088
P4464,38.526,-1.911
P15944,42.197,0.955
P17151,42.687,-2.124
P8412,39.997,-6.848
P590,36.985,-4.188
P9578,40.400,-6.263
P585,36.990,-4.500
P13752,41.800,-5.799
P16618,42.516,-1.524
P277,36.737,-4.319
P3135,38.071,-3.461
P19376,43.380,-8.199
P17193,42.561,0.722
P11379,40.845,0.019
P4052,38.389,-2.301
P15920,42.281,-0.661
P4992,38.789,-4.461
P14829,42.048,-2.499
P16573,42.592,-4.575
P16051,42.430,-3.833
P2210,37.749,-5.621
P16327,42.181,2.714
P6804,39.310,-1.475
P15624,42.319,-8.704
P1408,37.391,-4.617
P10921,40.771,-1.707
P13960,41.815,-3.116
P232,36.697,-5.191
P11634,41.030,-1.956
P3938,38.304,-1.350
P5652,38.862,-0.412
P2641,37.844,-2.457
P15271,42.224,-8.497
P15073,41.880,2.000
P16486,42.314,1.510
P17841,42.936,-4.158
P2456,37.850,-6.190
P1089,37.222,-3.492
P14404,41.989,-7.614
P2005,37.614,-3.163
P16939,42.686,-4.165
P14934,42.142,-7.348
P7363,39.485,-0.880
P5457,38.915,-3.173
P14758,42.093,-7.280
P14532,41.794,0.980
P15703,42.319,-3.296
